win;winner;loser;diff_h;diff_w;diff_r;diff_byear
1;Austin Lingo;Jacob Kilburn;-1.0;0;2;0.9664811734669432
1;Michael Chiesa;Neil Magny;2.0;0;5;-0.344976282880552
1;Warlley Alves;Mounir Lazzez;2.0;0;4;-3.1349035230018414
1;Ike Villanueva;Vinicius Moreira;3.0;0;3;4.9035914495164175
1;Viviane Araujo;Roxanne Modafferi;3.0;0;1;-4.158880743615543
1;Matt Schnell;Tyson Nam;-1.0;0;-2;-6.278020767024648
1;Lerone Murphy;Douglas Silva de Andrade;-2.0;-10;-5;-6.080891462521476
1;Omari Akhmedov;Tom Breese;3.0;0;0;3.9562756250983937
1;Ricky Simon;Gaetano Pirrello;1.0;0;-4;-0.3395004688665749
1;Sumudaerji;Zarrukh Adashev;-3.0;0;-7;-3.477141898875405
1;Dalcha Lungiambula;Markus Perez;5.0;0;-3;0.8952955912852419
1;Francisco Figueiredo;Jerome Rivera;4.0;0;4;5.4949793630259345
1;Mike Davis;Mason Jones;-2.0;0;2;2.5489914235063007
1;Umar Nurmagomedov;Sergey Morozov;-2.0;-10;-2;-6.71334798113582
1;Manon Fiorot;Victoria Leonardo;-2.0;0;-1;-0.002737907006988508
1;Marvin Vettori;Jack Hermansson;1.0;-20;3;-5.2786847094738425
1;Jamahal Hill;Ovince Saint Preux;-1.0;0;1;-8.112418461706948
1;Gabriel Benitez;Justin Jaynes;-1.0;0;-3;1.1526588499421617
1;Roman Dolidze;John Allan;-1.0;20;-1;4.6078974927616585
1;Jordan Leavitt;Matt Wiman;1.0;0;-3;-11.701814547868882
1;Louis Smolka;Jose Quinonez;-1.0;0;1;-0.9664811734669432
1;Ilia Topuria;Damon Jackson;4.0;-10;2;-8.454656837580512
1;Jake Collier;Gian Villante;0.0;0;-2;-3.186923756134623
1;Deiveson Figueiredo;Brandon Moreno;2.0;0;2;5.971375182241935
1;Deiveson Figueiredo;Brandon Moreno;2.0;0;2;5.971375182241935
1;Charles Oliveira;Tony Ferguson;1.0;0;2;-5.678419132494165
1;Mackenzie Dern;Virna Jandiroba;-1.0;0;1;-4.815978425292785
1;Kevin Holland;Jacare Souza;-2.0;0;-9;-12.91470735196479
1;Ciryl Gane;Junior Dos Santos;0.0;-7;-4;-6.198621463821981
1;Cub Swanson;Daniel Pineda;-1.0;0;-1;1.7604742054936104
1;Rafael Fiziev;Renato Moicano;3.0;0;1;-3.7892632976720946
1;Gavin Tucker;Billy Quarantillo;4.0;0;4;2.4778058413245994
1;Tecia Torres;Sam Hughes;4.0;0;4;2.8665886363169677
1;Chase Hooper;Peter Barrett;-3.0;0;-1;-13.092671307419044
1;Dustin Poirier;Conor McGregor;0.0;0;2;-0.517464424320828
1;Dustin Poirier;Conor McGregor;0.0;0;2;-0.517464424320828
1;Michael Chandler;Dan Hooker;4.0;-10;4;3.808428646721014
1;Joanne Wood;Jessica Eye;0.0;0;1;0.5913879135095177
1;Makhmud Muradov;Andrew Sanchez;-1.0;0;-1;-1.8371356016892886
1;Marina Rodriguez;Amanda Ribas;-3.0;10;1;6.327303093150441
1;Arman Tsarukyan;Matt Frevola;2.0;0;-1;-6.335516814171407
1;Brad Tavares;Antonio Carlos Junior;1.0;0;5;2.234132117702622
1;Julianna Pena;Sara McMann;0.0;0;-3;-8.900935679719638
1;Marcin Prachnio;Khalil Rountree Jr.;-2.0;0;2;1.6208409481371966
1;Movsar Evloev;Nik Lentz;1.0;0;-4;-9.497799407243132
1;Amir Albazi;Zhalgas Zhumagulov;-1.0;0;-2;-5.160954708173337
1;Ciryl Gane;Jairzinho Rozenstruik;-2.0;-3;-3;-2.069857697283312
1;Magomed Ankalaev;Nikita Krylov;0.0;0;2;-0.23819790960800016
1;Montana De La Rosa;Mayra Bueno Silva;-1.0;10;-2;-3.4826177128893816
1;Pedro Munhoz;Jimmie Rivera;-2.0;0;3;2.8090925891702088
1;Alex Caceres;Kevin Croom;1.0;-10;0;-0.9336262893830811
1;Thiago Moises;Alexander Hernandez;0.0;0;2;-2.4723300273106226
1;Alexis Davis;Sabina Mazo;1.0;-10;2;12.471166416832652
1;Ronnie Lawrence;Vince Cachero;-2.0;10;0;-2.5982737496320936
1;Dustin Jacoby;Maxim Grishin;0.0;0;2;-3.9234207410145316
1;Kamaru Usman;Gilbert Burns;-2.0;0;-5;-0.8076825670616098
1;Alexa Grasso;Maycee Barber;0.0;0;-1;4.772171913180969
1;Kelvin Gastelum;Ian Heinisch;2.0;0;1;-3.2170407332114963
1;Ricky Simon;Brian Kelleher;0.0;10;-3;-6.034347043402671
1;Julian Marquez;Maki Pitolo;-4.0;0;3;0.5475814013977015
1;Anthony Hernandez;Rodolfo Vieira;0.0;0;-2;-4.063053998370945
1;Belal Muhammad;Dhiego Lima;3.0;0;3;0.5640088434396325
1;Polyana Viana;Mallory Martin;-1.0;0;-4;1.6263167621511736
1;Chris Gutierrez;Andre Ewell;-1.0;10;8;-3.2498956172953584
1;Gabe Green;Phil Rowe;5.0;0;7;-2.789927240121289
1;Kamaru Usman;Colby Covington;-1.0;0;-4;0.7857793110057016
1;Kamaru Usman;Colby Covington;-1.0;0;-4;0.7857793110057016
1;Alexander Volkanovski;Max Holloway;5.0;0;-2;3.1787100351136575
1;Alexander Volkanovski;Max Holloway;5.0;0;-2;3.1787100351136575
1;Amanda Nunes;Germaine de Randamie;1.0;0;2;-4.098646789461796
1;Marlon Moraes;Jose Aldo;1.0;0;3;-1.629054669158162
1;Petr Yan;Urijah Faber;-1.0;0;0;-13.749768989096285
1;Geoff Neal;Mike Perry;-1.0;0;-4;1.0486183836765983
1;Irene Aldana;Ketlen Vieira;-1.0;0;0;3.4169079447216575
1;Omari Akhmedov;Ian Heinisch;-1.0;0;-1;0.8158962880825753
1;Matt Brown;Ben Saunders;2.0;0;2;2.2532974667515417
1;Chase Hooper;Daniel Teymur;-8.0;0;-5;-11.608725709631273
1;Brandon Moreno;Kai Kara-France;-3.0;0;-1;-0.700904193789058
1;Jessica Eye;Viviane Araujo;-2.0;0;2;0.3203351198176554
1;Punahele Soriano;Oskar Piechota;1.0;0;4;-2.8282579382191284
1;Derrick Lewis;Curtis Blaydes;1.0;5;1;6.0288712293886935
1;Yana Kunitskaya;Ketlen Vieira;2.0;0;0;1.7878532755634955
1;Darrick Minner;Charles Rosa;2.0;0;0;-3.6770091103855655
1;Chris Daukaus;Aleksei Oleinik;-1.0;-10;4;-12.265823391308514
1;Phil Hawes;Nassourdine Imavov;3.0;0;-2;6.141125416675223
1;Tom Aspinall;Andrei Arlovski;-2.0;-16;-1;-14.18235829620047
1;Jared Gordon;Danny Chavez;-1.0;-10;-1;-1.4839455977877711
1;John Castaneda;Eddie Wineland;1.0;0;-2;-7.477224036085614
1;Julian Erosa;Nate Landwehr;-4.0;0;-2;-1.149920942935173
1;Casey O'Neill;Shana Dobson;0.0;0;0;-8.523104512755225
1;Aiemann Zahabi;Drako Rodriguez;0.0;0;1;8.575124745888006
1;Serghei Spivac;Jared Vanderaa;1.0;5;2;-2.702314215897657
1;Alexander Volkov;Alistair Overeem;-3.0;15;0;-8.438229395538581
1;Cory Sandhagen;Frankie Edgar;-5.0;0;-2;-10.51082499982888
1;Clay Guida;Michael Johnson;3.0;0;3;4.487429584454164
1;Alexandre Pantoja;Manel Kape;0.0;0;1;3.5811823651409678
1;Beneil Dariush;Diego Ferreira;-1.0;0;2;-4.295776093964968
1;Danilo Marques;Mike Rodriguez;-2.0;0;5;2.924084683463726
1;Devonte Smith;Justin Jaynes;-2.0;-10;-8;-3.969965160133336
1;Karol Rosa;Joselyne Edwards;3.0;0;3;0.7474486129078626
1;Lara Procopio;Molly McCann;0.0;0;-5;-5.530572154116785
1;SeungWoo Choi;Youssef Zalal;-2.0;0;-2;3.835807716790899
1;Timur Valiev;Martin Day;4.0;10;6;-1.1909895480400008
1;Ode Osbourne;Jerome Rivera;3.0;0;-1;3.282750501379221
1;Conor McGregor;Donald Cerrone;4.0;15;-1;-5.295112151515774
1;Holly Holm;Raquel Pennington;-1.0;0;-2;6.885836122576097
1;Aleksei Oleinik;Maurice Greene;5.0;18;0;9.040568937076053
1;Brian Kelleher;Ode Osbourne;1.0;-20;7;5.390938896760372
1;Diego Ferreira;Anthony Pettis;1.0;0;-2;2.0233132781645073
1;Roxanne Modafferi;Maycee Barber;-2.0;0;-4;15.64713854493932
1;Sodiq Yusuff;Andre Fili;2.0;0;3;-2.8994435204008298
1;Askar Askarov;Tim Elliott;1.0;0;-1;-5.793411226787682
1;Drew Dober;Nasrat Haqparast;2.0;0;2;6.839291703457292
1;Aleksa Camur;Justin Ledet;3.0;0;6;-6.98987658884166
1;Sabina Mazo;JJ Aldrich;-2.0;0;-3;-4.4846916774471755
1;Curtis Blaydes;Junior Dos Santos;0.0;-27;-3;-7.052848450002395
1;Michael Chiesa;Rafael Dos Anjos;-5.0;-15;-5;-3.1130002669459333
1;Alex Perez;Jordan Espinosa;0.0;0;4;-2.3655516540380708
1;Angela Hill;Hannah Cifers;-2.0;0;-2;7.452582873022718
1;Jamahal Hill;Darko Stosic;-4.0;0;-3;0.728283263858943
1;Bevon Lewis;Dequan Townsend;0.0;20;0;-4.9829907527190835
1;Arnold Allen;Nik Lentz;0.0;0;-2;-9.443041267103363
1;Justine Kish;Lucie Pudilova;3.0;0;3;6.165766579738119
1;Montel Jackson;Felipe Colares;-2.0;0;-6;1.9329623469338864
1;Sara McMann;Lina Lansberg;1.0;0;-1;1.4647802487388515
1;Brett Johns;Tony Gravely;-2.0;0;-2;-0.39973442302032214
1;Herbert Burns;Nate Landwehr;0.0;0;-1;0.3422383758735634
1;Chan Sung Jung;Frankie Edgar;-1.0;-10;-4;-5.415580059823268
1;Volkan Oezdemir;Aleksandar Rakic;2.0;0;3;2.3819790960800016
1;Charles Jourdain;Dooho Choi;1.0;0;1;-4.632538655824555
1;Da-Un Jung;Mike Rodriguez;0.0;0;4;-5.024059357823911
1;Junyong Park;Marc-Andre Barriault;3.0;0;1;-1.0239772206137019
1;Kyung Ho Kang;Pingyuan Liu;-3.0;0;-1;5.432007501865199
1;Ciryl Gane;Tanner Boser;-2.0;10;-6;1.3059816423335182
1;SeungWoo Choi;Suman Mokhtarian;-4.0;0;-2;-0.39152070199935657
1;Omar Morales;Dong Hyun Ma;0.0;10;-3;2.896705613393841
1;Alexandre Pantoja;Matt Schnell;3.0;0;3;-0.24914953763595418
1;Raoni Barcelos;Said Nurmagomedov;1.0;0;3;4.930970519586302
1;Amanda Lemos;Miranda Granger;3.0;10;3;4.895377728495451
1;Alatengheili;Ryan Benoit;0.0;-10;2;-2.302579792877335
1;Dan Hooker;Paul Felder;-1.0;10;-5;-5.804362854815636
1;Jimmy Crute;Michal Oleksiejczuk;-2.0;0;0;-1.029453034627679
1;Yan Xiaonan;Karolina Kowalkiewicz;-2.0;0;1;-3.6687953893646004
1;Marcos Rogerio de Lima;Ben Sosoli;-1.0;12;-3;4.460050514384279
1;Brad Riddell;Magomed Mustafaev;1.0;0;0;-3.159544686064738
1;Zubaira Tukhugov;Kevin Aguilar;-1.0;10;5;-2.3546000260101168
1;Jalin Turner;Josh Culibao;-5.0;-10;-4;-0.9829086155088742
1;Jake Matthews;Emil Meek;0.0;0;1;-5.996016345304832
1;Song Kenan;Callan Potter;0.0;0;1;-5.749604714675866
1;Kai Kara-France;Tyson Nam;3.0;0;-1;-9.470420337173248
1;Angela Hill;Loma Lookboonmee;-2.0;0;-3;11.014599889114766
1;Priscila Cachoeira;Shana Dobson;-1.0;0;4;0.6105532625584372
1;Jon Jones;Dominick Reyes;0.0;0;-7;2.4394751432267605
1;Valentina Shevchenko;Katlyn Chookagian;4.0;0;2;0.8104204740685983
1;Justin Tafa;Juan Adams;5.0;1;6;-1.90832118387099
1;Dan Ige;Mirsad Bektic;1.0;0;-1;-0.4681820981950348
1;Derrick Lewis;Ilir Latifi;-5.0;-30;-6;-2.5325639814643695
1;Deiveson Figueiredo;Joseph Benavidez;-1.0;0;-3;-3.381315153630807
1;Deiveson Figueiredo;Joseph Benavidez;-1.0;0;-3;-3.381315153630807
1;Felicia Spencer;Zarah Fairn;2.0;-10;4;-6.970711239792741
1;Trevin Giles;James Krause;2.0;-15;-1;-6.1739803007590845
1;Lauren Murphy;Andrea Lee;1.0;0;2;5.546999596158717
1;Magomed Ankalaev;Ion Cutelaba;-2.0;0;0;1.5332279239135642
1;Magomed Ankalaev;Ion Cutelaba;-2.0;0;0;1.5332279239135642
1;Megan Anderson;Norma Dumont;-5.0;0;-5;0.6351944256213338
1;Khaos Williams;Alex Morono;-1.0;0;-5;-3.619513063238807
1;Mario Bautista;Miles Johns;-2.0;0;-3;0.7447107059008741
1;Grant Dawson;Darrick Minner;-3.0;-10;-3;-3.81664236774198
1;Kyler Phillips;Gabriel Silva;-2.0;0;-1;-0.7939930320266673
1;Domingo Pilarte;Journey Newson;-7.0;0;-6;-0.8323237301245063
1;Andre Ewell;Jonathan Martinez;0.0;-10;-5;6.245165882940786
1;Brendan Allen;Tom Breese;1.0;0;-2;-4.254707488860141
