event;winner;height;weight;reach;bday;loser;l_height;l_weight;l_reach;l_bday
UFC 258: Usman vs. Burns;Chris Gutierrez;"5' 8""";145 lbs.;"75""";Jan 21, 1988;Andre Ewell;"5' 9""";135 lbs.;"67""";Apr 22, 1991
UFC 258: Usman vs. Burns;Gabe Green;"6' 3""";170 lbs.;"80""";Jul 18, 1990;Phil Rowe;"5' 10""";170 lbs.;"73""";May 02, 1993
UFC 245: Usman vs. Covington;Kamaru Usman;"5' 11""";170 lbs.;"72""";Feb 22, 1988;Colby Covington;"6' 0""";170 lbs.;"76""";May 11, 1987
UFC 245: Usman vs. Covington;Kamaru Usman;"5' 11""";170 lbs.;"72""";Feb 22, 1988;Colby Covington;"6' 0""";170 lbs.;"76""";May 11, 1987
UFC 245: Usman vs. Covington;Alexander Volkanovski;"5' 11""";145 lbs.;"69""";Dec 04, 1991;Max Holloway;"5' 6""";145 lbs.;"71""";Sep 29, 1988
UFC 245: Usman vs. Covington;Alexander Volkanovski;"5' 11""";145 lbs.;"69""";Dec 04, 1991;Max Holloway;"5' 6""";145 lbs.;"71""";Sep 29, 1988
UFC 245: Usman vs. Covington;Amanda Nunes;"5' 9""";135 lbs.;"71""";Apr 24, 1984;Germaine de Randamie;"5' 8""";135 lbs.;"69""";May 30, 1988
UFC 245: Usman vs. Covington;Marlon Moraes;"5' 7""";135 lbs.;"70""";Sep 09, 1986;Jose Aldo;"5' 6""";135 lbs.;"67""";Apr 26, 1988
UFC 245: Usman vs. Covington;Petr Yan;"5' 6""";135 lbs.;"67""";May 14, 1979;Urijah Faber;"5' 7""";135 lbs.;"67""";Feb 11, 1993
UFC 245: Usman vs. Covington;Geoff Neal;"5' 10""";170 lbs.;"71""";Sep 15, 1991;Mike Perry;"5' 11""";170 lbs.;"75""";Aug 28, 1990
UFC 245: Usman vs. Covington;Irene Aldana;"5' 8""";135 lbs.;"68""";Aug 26, 1991;Ketlen Vieira;"5' 9""";135 lbs.;"68""";Mar 26, 1988
UFC 245: Usman vs. Covington;Omari Akhmedov;"5' 11""";185 lbs.;"72""";Aug 05, 1988;Ian Heinisch;"6' 0""";185 lbs.;"73""";Oct 12, 1987
UFC 245: Usman vs. Covington;Matt Brown;"6' 2""";170 lbs.;"77""";Apr 13, 1983;Ben Saunders;"6' 0""";170 lbs.;"75""";Jan 10, 1981
UFC 245: Usman vs. Covington;Chase Hooper;"5' 5""";145 lbs.;"69""";Feb 03, 1988;Daniel Teymur;"6' 1""";145 lbs.;"74""";Sep 13, 1999
UFC 245: Usman vs. Covington;Brandon Moreno;"5' 4""";125 lbs.;"69""";Mar 26, 1993;Kai Kara-France;"5' 7""";125 lbs.;"70""";Dec 07, 1993
UFC 245: Usman vs. Covington;Jessica Eye;"5' 4""";125 lbs.;"68""";Nov 21, 1986;Viviane Araujo;"5' 6""";125 lbs.;"66""";Jul 27, 1986
UFC 245: Usman vs. Covington;Punahele Soriano;"6' 0""";185 lbs.;"76""";Jan 24, 1990;Oskar Piechota;"5' 11""";185 lbs.;"72""";Nov 22, 1992
UFC Fight Night: Blaydes vs. Lewis;Derrick Lewis;"6' 4""";265 lbs.;"80""";Feb 18, 1991;Curtis Blaydes;"6' 3""";260 lbs.;"79""";Feb 07, 1985
UFC Fight Night: Blaydes vs. Lewis;Yana Kunitskaya;"5' 8""";135 lbs.;"68""";Aug 26, 1991;Ketlen Vieira;"5' 6""";135 lbs.;"68""";Nov 11, 1989
UFC Fight Night: Blaydes vs. Lewis;Darrick Minner;"5' 9""";145 lbs.;"69""";Aug 24, 1986;Charles Rosa;"5' 7""";145 lbs.;"69""";Apr 28, 1990
UFC Fight Night: Blaydes vs. Lewis;Chris Daukaus;"6' 2""";240 lbs.;"80""";Jun 20, 1977;Aleksei Oleinik;"6' 3""";250 lbs.;"76""";Sep 25, 1989
UFC Fight Night: Blaydes vs. Lewis;Phil Hawes;"6' 3""";185 lbs.;"75""";Mar 01, 1995;Nassourdine Imavov;"6' 0""";185 lbs.;"77""";Jan 08, 1989
UFC Fight Night: Blaydes vs. Lewis;Tom Aspinall;"6' 3""";240 lbs.;"77""";Feb 04, 1979;Andrei Arlovski;"6' 5""";256 lbs.;"78""";Apr 11, 1993
UFC Fight Night: Blaydes vs. Lewis;Jared Gordon;"5' 8""";145 lbs.;"67""";Mar 14, 1987;Danny Chavez;"5' 9""";155 lbs.;"68""";Sep 06, 1988
UFC Fight Night: Blaydes vs. Lewis;John Castaneda;"5' 7""";135 lbs.;"69""";Jun 26, 1984;Eddie Wineland;"5' 6""";135 lbs.;"71""";Dec 18, 1991
UFC Fight Night: Blaydes vs. Lewis;Julian Erosa;"5' 9""";145 lbs.;"72""";Jun 06, 1988;Nate Landwehr;"6' 1""";145 lbs.;"74""";Jul 31, 1989
UFC Fight Night: Blaydes vs. Lewis;Casey O'Neill;"5' 6""";125 lbs.;"69""";Mar 30, 1989;Shana Dobson;"5' 6""";125 lbs.;"69""";Oct 07, 1997
UFC Fight Night: Blaydes vs. Lewis;Aiemann Zahabi;"5' 8""";135 lbs.;"69""";Jun 16, 1996;Drako Rodriguez;"5' 8""";135 lbs.;"68""";Nov 19, 1987
UFC Fight Night: Blaydes vs. Lewis;Serghei Spivac;"6' 4""";265 lbs.;"80""";May 12, 1992;Jared Vanderaa;"6' 3""";260 lbs.;"78""";Jan 24, 1995
UFC Fight Night: Overeem vs. Volkov;Alexander Volkov;"6' 4""";265 lbs.;"80""";May 17, 1980;Alistair Overeem;"6' 7""";250 lbs.;"80""";Oct 24, 1988
UFC Fight Night: Overeem vs. Volkov;Cory Sandhagen;"5' 6""";135 lbs.;"68""";Oct 16, 1981;Frankie Edgar;"5' 11""";135 lbs.;"70""";Apr 20, 1992
UFC Fight Night: Overeem vs. Volkov;Clay Guida;"5' 10""";155 lbs.;"73""";Jun 04, 1986;Michael Johnson;"5' 7""";155 lbs.;"70""";Dec 08, 1981
UFC Fight Night: Overeem vs. Volkov;Alexandre Pantoja;"5' 5""";125 lbs.;"68""";Nov 14, 1993;Manel Kape;"5' 5""";125 lbs.;"67""";Apr 16, 1990
UFC Fight Night: Overeem vs. Volkov;Beneil Dariush;"5' 9""";155 lbs.;"74""";Jan 18, 1985;Diego Ferreira;"5' 10""";155 lbs.;"72""";May 06, 1989
UFC Fight Night: Overeem vs. Volkov;Danilo Marques;"6' 4""";205 lbs.;"82""";Nov 28, 1988;Mike Rodriguez;"6' 6""";205 lbs.;"77""";Dec 26, 1985
UFC Fight Night: Overeem vs. Volkov;Devonte Smith;"5' 7""";145 lbs.;"68""";Aug 10, 1989;Justin Jaynes;"5' 9""";155 lbs.;"76""";Jul 30, 1993
UFC Fight Night: Overeem vs. Volkov;Karol Rosa;"5' 8""";135 lbs.;"70""";Sep 29, 1995;Joselyne Edwards;"5' 5""";135 lbs.;"67""";Dec 30, 1994
UFC Fight Night: Overeem vs. Volkov;Lara Procopio;"5' 4""";125 lbs.;"62""";May 04, 1990;Molly McCann;"5' 4""";125 lbs.;"67""";Nov 14, 1995
UFC Fight Night: Overeem vs. Volkov;SeungWoo Choi;"5' 10""";145 lbs.;"72""";Sep 04, 1996;Youssef Zalal;"6' 0""";145 lbs.;"74""";Nov 03, 1992
UFC Fight Night: Overeem vs. Volkov;Timur Valiev;"5' 10""";145 lbs.;"73""";Nov 10, 1988;Martin Day;"5' 6""";135 lbs.;"67""";Jan 19, 1990
UFC Fight Night: Overeem vs. Volkov;Ode Osbourne;"5' 10""";125 lbs.;"72""";Apr 22, 1995;Jerome Rivera;"5' 7""";125 lbs.;"73""";Jan 09, 1992
UFC 246: McGregor vs. Cowboy;Conor McGregor;"6' 1""";170 lbs.;"73""";Mar 29, 1983;Donald Cerrone;"5' 9""";155 lbs.;"74""";Jul 14, 1988
UFC 246: McGregor vs. Cowboy;Holly Holm;"5' 7""";135 lbs.;"67""";Sep 05, 1988;Raquel Pennington;"5' 8""";135 lbs.;"69""";Oct 17, 1981
UFC 246: McGregor vs. Cowboy;Aleksei Oleinik;"6' 7""";258 lbs.;"80""";Jul 05, 1986;Maurice Greene;"6' 2""";240 lbs.;"80""";Jun 20, 1977
UFC 246: McGregor vs. Cowboy;Brian Kelleher;"5' 7""";125 lbs.;"73""";Jan 09, 1992;Ode Osbourne;"5' 6""";145 lbs.;"66""";Aug 19, 1986
UFC 246: McGregor vs. Cowboy;Diego Ferreira;"5' 10""";155 lbs.;"72""";Jan 27, 1987;Anthony Pettis;"5' 9""";155 lbs.;"74""";Jan 18, 1985
UFC 246: McGregor vs. Cowboy;Roxanne Modafferi;"5' 5""";125 lbs.;"65""";May 18, 1998;Maycee Barber;"5' 7""";125 lbs.;"69""";Sep 24, 1982
UFC 246: McGregor vs. Cowboy;Sodiq Yusuff;"5' 11""";145 lbs.;"74""";Jun 25, 1990;Andre Fili;"5' 9""";145 lbs.;"71""";May 19, 1993
UFC 246: McGregor vs. Cowboy;Askar Askarov;"5' 7""";125 lbs.;"66""";Dec 24, 1986;Tim Elliott;"5' 6""";125 lbs.;"67""";Oct 09, 1992
UFC 246: McGregor vs. Cowboy;Drew Dober;"5' 10""";155 lbs.;"72""";Aug 22, 1995;Nasrat Haqparast;"5' 8""";155 lbs.;"70""";Oct 19, 1988
UFC 246: McGregor vs. Cowboy;Aleksa Camur;"6' 4""";205 lbs.;"80""";Sep 28, 1988;Justin Ledet;"6' 1""";205 lbs.;"74""";Sep 25, 1995
UFC 246: McGregor vs. Cowboy;Sabina Mazo;"5' 5""";125 lbs.;"67""";Sep 29, 1992;JJ Aldrich;"5' 7""";125 lbs.;"70""";Mar 25, 1997
UFC Fight Night: Blaydes vs. Dos Santos;Curtis Blaydes;"6' 4""";238 lbs.;"77""";Jan 30, 1984;Junior Dos Santos;"6' 4""";265 lbs.;"80""";Feb 18, 1991
UFC Fight Night: Blaydes vs. Dos Santos;Michael Chiesa;"5' 8""";155 lbs.;"70""";Oct 26, 1984;Rafael Dos Anjos;"6' 1""";170 lbs.;"75""";Dec 07, 1987
UFC Fight Night: Blaydes vs. Dos Santos;Alex Perez;"5' 6""";125 lbs.;"69""";Nov 08, 1989;Jordan Espinosa;"5' 6""";125 lbs.;"65""";Mar 21, 1992
UFC Fight Night: Blaydes vs. Dos Santos;Angela Hill;"5' 1""";115 lbs.;"62""";Jun 26, 1992;Hannah Cifers;"5' 3""";115 lbs.;"64""";Jan 12, 1985
UFC Fight Night: Blaydes vs. Dos Santos;Jamahal Hill;"6' 0""";205 lbs.;"76""";Feb 09, 1992;Darko Stosic;"6' 4""";205 lbs.;"79""";May 19, 1991
UFC Fight Night: Blaydes vs. Dos Santos;Bevon Lewis;"6' 3""";205 lbs.;"79""";May 11, 1986;Dequan Townsend;"6' 3""";185 lbs.;"79""";May 05, 1991
UFC Fight Night: Blaydes vs. Dos Santos;Arnold Allen;"5' 8""";145 lbs.;"68""";Aug 13, 1984;Nik Lentz;"5' 8""";145 lbs.;"70""";Jan 22, 1994
UFC Fight Night: Blaydes vs. Dos Santos;Justine Kish;"5' 8""";125 lbs.;"67""";Jun 13, 1994;Lucie Pudilova;"5' 5""";125 lbs.;"64""";Apr 13, 1988
UFC Fight Night: Blaydes vs. Dos Santos;Montel Jackson;"5' 8""";135 lbs.;"69""";Mar 31, 1994;Felipe Colares;"5' 10""";135 lbs.;"75""";Apr 24, 1992
UFC Fight Night: Blaydes vs. Dos Santos;Sara McMann;"5' 7""";135 lbs.;"65""";Mar 13, 1982;Lina Lansberg;"5' 6""";135 lbs.;"66""";Sep 24, 1980
UFC Fight Night: Blaydes vs. Dos Santos;Brett Johns;"5' 5""";135 lbs.;"69""";Sep 28, 1991;Tony Gravely;"5' 7""";135 lbs.;"71""";Feb 21, 1992
UFC Fight Night: Blaydes vs. Dos Santos;Herbert Burns;"5' 9""";145 lbs.;"72""";Jun 06, 1988;Nate Landwehr;"5' 9""";145 lbs.;"73""";Feb 02, 1988
UFC Fight Night: Edgar vs. The Korean Zombie;Chan Sung Jung;"5' 6""";135 lbs.;"68""";Oct 16, 1981;Frankie Edgar;"5' 7""";145 lbs.;"72""";Mar 17, 1987
UFC Fight Night: Edgar vs. The Korean Zombie;Volkan Oezdemir;"6' 4""";205 lbs.;"78""";Feb 06, 1992;Aleksandar Rakic;"6' 2""";205 lbs.;"75""";Sep 19, 1989
UFC Fight Night: Edgar vs. The Korean Zombie;Charles Jourdain;"5' 10""";145 lbs.;"70""";Apr 10, 1991;Dooho Choi;"5' 9""";145 lbs.;"69""";Nov 27, 1995
UFC Fight Night: Edgar vs. The Korean Zombie;Da-Un Jung;"6' 4""";205 lbs.;"82""";Nov 28, 1988;Mike Rodriguez;"6' 4""";205 lbs.;"78""";Dec 07, 1993
UFC Fight Night: Edgar vs. The Korean Zombie;Junyong Park;"6' 1""";185 lbs.;"74""";Feb 18, 1990;Marc-Andre Barriault;"5' 10""";185 lbs.;"73""";Feb 27, 1991
UFC Fight Night: Edgar vs. The Korean Zombie;Kyung Ho Kang;"5' 6""";135 lbs.;"72""";Feb 13, 1993;Pingyuan Liu;"5' 9""";135 lbs.;"73""";Sep 09, 1987
UFC Fight Night: Edgar vs. The Korean Zombie;Ciryl Gane;"6' 2""";255 lbs.;"75""";Aug 02, 1991;Tanner Boser;"6' 4""";245 lbs.;"81""";Apr 12, 1990
UFC Fight Night: Edgar vs. The Korean Zombie;SeungWoo Choi;"5' 8""";145 lbs.;"72""";Jun 13, 1992;Suman Mokhtarian;"6' 0""";145 lbs.;"74""";Nov 03, 1992
UFC Fight Night: Edgar vs. The Korean Zombie;Omar Morales;"5' 11""";155 lbs.;"70""";Sep 09, 1988;Dong Hyun Ma;"5' 11""";145 lbs.;"73""";Oct 17, 1985
UFC Fight Night: Edgar vs. The Korean Zombie;Alexandre Pantoja;"5' 8""";125 lbs.;"70""";Jan 15, 1990;Matt Schnell;"5' 5""";125 lbs.;"67""";Apr 16, 1990
UFC Fight Night: Edgar vs. The Korean Zombie;Raoni Barcelos;"5' 8""";135 lbs.;"70""";Apr 05, 1992;Said Nurmagomedov;"5' 7""";135 lbs.;"67""";May 01, 1987
UFC Fight Night: Edgar vs. The Korean Zombie;Amanda Lemos;"5' 7""";125 lbs.;"68""";Apr 13, 1992;Miranda Granger;"5' 4""";115 lbs.;"65""";May 22, 1987
UFC Fight Night: Edgar vs. The Korean Zombie;Alatengheili;"5' 5""";125 lbs.;"68""";Aug 25, 1989;Ryan Benoit;"5' 5""";135 lbs.;"66""";Dec 14, 1991
UFC Fight Night: Felder vs. Hooker;Dan Hooker;"5' 11""";155 lbs.;"70""";Apr 25, 1984;Paul Felder;"6' 0""";145 lbs.;"75""";Feb 13, 1990
UFC Fight Night: Felder vs. Hooker;Jimmy Crute;"6' 0""";205 lbs.;"74""";Feb 22, 1995;Michal Oleksiejczuk;"6' 2""";205 lbs.;"74""";Mar 04, 1996
UFC Fight Night: Felder vs. Hooker;Yan Xiaonan;"5' 3""";115 lbs.;"64""";Oct 15, 1985;Karolina Kowalkiewicz;"5' 5""";115 lbs.;"63""";Jun 16, 1989
UFC Fight Night: Felder vs. Hooker;Marcos Rogerio de Lima;"6' 0""";265 lbs.;"72""";Dec 10, 1989;Ben Sosoli;"6' 1""";253 lbs.;"75""";Jun 25, 1985
UFC Fight Night: Felder vs. Hooker;Brad Riddell;"5' 8""";155 lbs.;"71""";Aug 02, 1988;Magomed Mustafaev;"5' 7""";155 lbs.;"71""";Sep 30, 1991
UFC Fight Night: Felder vs. Hooker;Zubaira Tukhugov;"5' 7""";155 lbs.;"73""";Sep 07, 1988;Kevin Aguilar;"5' 8""";145 lbs.;"68""";Jan 15, 1991
UFC Fight Night: Felder vs. Hooker;Jalin Turner;"5' 10""";145 lbs.;"73""";May 24, 1994;Josh Culibao;"6' 3""";155 lbs.;"77""";May 18, 1995
UFC Fight Night: Felder vs. Hooker;Jake Matthews;"5' 11""";170 lbs.;"74""";Aug 20, 1988;Emil Meek;"5' 11""";170 lbs.;"73""";Aug 19, 1994
UFC Fight Night: Felder vs. Hooker;Song Kenan;"6' 0""";170 lbs.;"72""";Jun 09, 1984;Callan Potter;"6' 0""";170 lbs.;"71""";Mar 10, 1990
UFC Fight Night: Felder vs. Hooker;Kai Kara-France;"5' 7""";125 lbs.;"68""";Oct 06, 1983;Tyson Nam;"5' 4""";125 lbs.;"69""";Mar 26, 1993
UFC Fight Night: Felder vs. Hooker;Angela Hill;"5' 1""";115 lbs.;"61""";Jan 18, 1996;Loma Lookboonmee;"5' 3""";115 lbs.;"64""";Jan 12, 1985
UFC Fight Night: Felder vs. Hooker;Priscila Cachoeira;"5' 6""";125 lbs.;"69""";Mar 30, 1989;Shana Dobson;"5' 7""";125 lbs.;"65""";Aug 19, 1988
UFC 247: Jones vs. Reyes;Jon Jones;"6' 4""";205 lbs.;"77""";Dec 26, 1989;Dominick Reyes;"6' 4""";205 lbs.;"84""";Jul 19, 1987
UFC 247: Jones vs. Reyes;Valentina Shevchenko;"5' 9""";125 lbs.;"68""";Dec 28, 1988;Katlyn Chookagian;"5' 5""";125 lbs.;"66""";Mar 07, 1988
UFC 247: Jones vs. Reyes;Justin Tafa;"6' 5""";265 lbs.;"80""";Jan 16, 1992;Juan Adams;"6' 0""";264 lbs.;"74""";Dec 13, 1993
UFC 247: Jones vs. Reyes;Dan Ige;"5' 8""";145 lbs.;"70""";Feb 16, 1991;Mirsad Bektic;"5' 7""";145 lbs.;"71""";Aug 06, 1991
UFC 247: Jones vs. Reyes;Derrick Lewis;"5' 10""";230 lbs.;"73""";Jul 28, 1982;Ilir Latifi;"6' 3""";260 lbs.;"79""";Feb 07, 1985
UFC Fight Night: Benavidez vs. Figueiredo;Deiveson Figueiredo;"5' 4""";125 lbs.;"65""";Jul 31, 1984;Joseph Benavidez;"5' 5""";125 lbs.;"68""";Dec 18, 1987
UFC Fight Night: Benavidez vs. Figueiredo;Deiveson Figueiredo;"5' 4""";125 lbs.;"65""";Jul 31, 1984;Joseph Benavidez;"5' 5""";125 lbs.;"68""";Dec 18, 1987
UFC Fight Night: Benavidez vs. Figueiredo;Felicia Spencer;"5' 8""";135 lbs.;"72""";Dec 10, 1983;Zarah Fairn;"5' 6""";145 lbs.;"68""";Nov 29, 1990
UFC 247: Jones vs. Reyes;Trevin Giles;"6' 2""";170 lbs.;"73""";Jun 04, 1986;James Krause;"6' 0""";185 lbs.;"74""";Aug 06, 1992
UFC 247: Jones vs. Reyes;Lauren Murphy;"5' 6""";125 lbs.;"69""";Feb 11, 1989;Andrea Lee;"5' 5""";125 lbs.;"67""";Jul 27, 1983
UFC Fight Night: Benavidez vs. Figueiredo;Magomed Ankalaev;"6' 1""";205 lbs.;"75""";Dec 14, 1993;Ion Cutelaba;"6' 3""";205 lbs.;"75""";Jun 02, 1992
UFC Fight Night: Benavidez vs. Figueiredo;Magomed Ankalaev;"6' 1""";205 lbs.;"75""";Dec 14, 1993;Ion Cutelaba;"6' 3""";205 lbs.;"75""";Jun 02, 1992
UFC Fight Night: Benavidez vs. Figueiredo;Megan Anderson;"5' 7""";145 lbs.;"67""";Oct 01, 1990;Norma Dumont;"6' 0""";145 lbs.;"72""";Feb 11, 1990
UFC 247: Jones vs. Reyes;Khaos Williams;"5' 11""";170 lbs.;"72""";Aug 16, 1990;Alex Morono;"6' 0""";170 lbs.;"77""";Mar 30, 1994
UFC 247: Jones vs. Reyes;Mario Bautista;"5' 7""";135 lbs.;"66""";Mar 30, 1994;Miles Johns;"5' 9""";135 lbs.;"69""";Jul 01, 1993
UFC Fight Night: Benavidez vs. Figueiredo;Grant Dawson;"5' 7""";145 lbs.;"69""";Apr 28, 1990;Darrick Minner;"5' 10""";155 lbs.;"72""";Feb 20, 1994
UFC Fight Night: Benavidez vs. Figueiredo;Kyler Phillips;"5' 6""";135 lbs.;"71""";Aug 26, 1994;Gabriel Silva;"5' 8""";135 lbs.;"72""";Jun 12, 1995
UFC 247: Jones vs. Reyes;Domingo Pilarte;"5' 5""";135 lbs.;"67""";Mar 07, 1989;Journey Newson;"6' 0""";135 lbs.;"73""";Jan 05, 1990
UFC 247: Jones vs. Reyes;Andre Ewell;"5' 8""";135 lbs.;"70""";Apr 20, 1994;Jonathan Martinez;"5' 8""";145 lbs.;"75""";Jan 21, 1988
UFC Fight Night: Benavidez vs. Figueiredo;Brendan Allen;"6' 3""";185 lbs.;"73""";Sep 26, 1991;Tom Breese;"6' 2""";185 lbs.;"75""";Dec 28, 1995
UFC Fight Night: Benavidez vs. Figueiredo;Marcin Tybura;"6' 3""";260 lbs.;"78""";Jan 24, 1995;Serghei Spivac;"6' 3""";249 lbs.;"78""";Nov 09, 1985
UFC 247: Jones vs. Reyes;Youssef Zalal;"5' 10""";145 lbs.;"70""";Jul 10, 1994;Austin Lingo;"5' 10""";145 lbs.;"72""";Sep 04, 1996
UFC Fight Night: Benavidez vs. Figueiredo;Luis Pena;"6' 0""";155 lbs.;"75""";May 22, 1992;Steve Garcia;"6' 3""";155 lbs.;"75""";Jul 05, 1993
UFC Fight Night: Benavidez vs. Figueiredo;Jordan Griffin;"5' 9""";145 lbs.;"72""";May 22, 1990;TJ Brown;"5' 10""";145 lbs.;"73""";Feb 28, 1990
UFC Fight Night: Benavidez vs. Figueiredo;Spike Carlyle;"6' 0""";145 lbs.;"78""";Sep 20, 1989;Aalon Cruz;"5' 8""";145 lbs.;"71""";May 06, 1993
UFC Fight Night: Benavidez vs. Figueiredo;Sean Brady;"5' 10""";170 lbs.;"74""";Aug 18, 1996;Ismail Naurdiev;"5' 10""";170 lbs.;"72""";Nov 23, 1992
UFC Fight Night: Anderson vs. Blachowicz;Jan Blachowicz;"6' 3""";205 lbs.;"79""";Sep 22, 1989;Corey Anderson;"6' 2""";205 lbs.;"78""";Feb 24, 1983
UFC Fight Night: Anderson vs. Blachowicz;Diego Sanchez;"6' 1""";170 lbs.;"73""";Oct 06, 1993;Michel Pereira;"5' 10""";170 lbs.;"72""";Dec 31, 1981
UFC Fight Night: Anderson vs. Blachowicz;Montana De La Rosa;"5' 6""";125 lbs.;"69""";Jun 03, 1986;Mara Romero Borella;"5' 7""";125 lbs.;"68""";Feb 14, 1995
UFC Fight Night: Anderson vs. Blachowicz;Brok Weaver;"5' 8""";155 lbs.;"71""";Aug 15, 1985;Kazula Vargas;"6' 0""";155 lbs.;"73""";Dec 05, 1991
UFC Fight Night: Anderson vs. Blachowicz;Ray Borg;"5' 5""";125 lbs.;"67""";Apr 25, 1992;Rogerio Bontorin;"5' 4""";135 lbs.;"63""";Aug 04, 1993
UFC Fight Night: Anderson vs. Blachowicz;Lando Vannata;"5' 10""";155 lbs.;"75""";Sep 07, 1987;Yancy Medeiros;"5' 9""";155 lbs.;"71""";Mar 14, 1992
UFC Fight Night: Anderson vs. Blachowicz;Daniel Rodriguez;"6' 2""";170 lbs.;"75""";Feb 20, 1984;Tim Means;"6' 1""";170 lbs.;"74""";Dec 31, 1986
UFC Fight Night: Anderson vs. Blachowicz;John Dodson;"5' 6""";135 lbs.;"69""";May 08, 1993;Nathaniel Wood;"5' 3""";135 lbs.;"66""";Sep 26, 1984
UFC Fight Night: Anderson vs. Blachowicz;Scott Holtzman;"5' 8""";155 lbs.;"71""";Aug 30, 1983;Jim Miller;"5' 9""";155 lbs.;"69""";Sep 30, 1983
UFC Fight Night: Anderson vs. Blachowicz;Devin Clark;"6' 3""";205 lbs.;"79""";May 11, 1986;Dequan Townsend;"6' 0""";205 lbs.;"75""";Apr 12, 1990
UFC Fight Night: Anderson vs. Blachowicz;Merab Dvalishvili;"5' 7""";135 lbs.;"68""";Mar 20, 1991;Casey Kenney;"5' 6""";135 lbs.;"68""";Jan 10, 1991
UFC Fight Night: Anderson vs. Blachowicz;Macy Chiasson;"5' 7""";125 lbs.;"65""";Feb 20, 1991;Shanna Young;"5' 11""";145 lbs.;"72""";Jul 27, 1991
UFC Fight Night: Anderson vs. Blachowicz;Raulian Paiva;"5' 6""";135 lbs.;"65""";Aug 31, 1994;Mark De La Rosa;"5' 8""";135 lbs.;"69""";Oct 17, 1995
UFC 248: Adesanya vs. Romero;Israel Adesanya;"6' 0""";185 lbs.;"73""";Apr 30, 1977;Yoel Romero;"6' 4""";185 lbs.;"80""";Jul 22, 1989
UFC 248: Adesanya vs. Romero;Zhang Weili;"5' 6""";115 lbs.;"65""";Aug 18, 1987;Joanna Jedrzejczyk;"5' 4""";115 lbs.;"63""";Aug 13, 1989
UFC 248: Adesanya vs. Romero;Beneil Dariush;"5' 9""";155 lbs.;"70""";Mar 09, 1988;Drakkar Klose;"5' 10""";155 lbs.;"72""";May 06, 1989
UFC 248: Adesanya vs. Romero;Neil Magny;"6' 0""";170 lbs.;"71""";Mar 20, 1988;Li Jingliang;"6' 3""";170 lbs.;"80""";Aug 03, 1987
UFC 248: Adesanya vs. Romero;Alex Oliveira;"5' 11""";170 lbs.;"76""";Nov 29, 1985;Max Griffin;"5' 11""";170 lbs.;"76""";Feb 21, 1988
UFC 248: Adesanya vs. Romero;Sean O'Malley;"5' 8""";135 lbs.;"69""";Jul 28, 1990;Jose Quinonez;"5' 11""";135 lbs.;"72""";Oct 24, 1994
UFC 248: Adesanya vs. Romero;Mark Madsen;"5' 10""";155 lbs.;"71""";Dec 22, 1991;Austin Hubbard;"5' 8""";155 lbs.;"72""";Sep 23, 1984
UFC 248: Adesanya vs. Romero;Rodolfo Vieira;"6' 1""";185 lbs.;"78""";Oct 14, 1986;Saparbeg Safarov;"6' 0""";185 lbs.;"73""";Sep 25, 1989
UFC 248: Adesanya vs. Romero;Gerald Meerschaert;"5' 6""";185 lbs.;"70""";Jun 13, 1989;Deron Winn;"6' 1""";185 lbs.;"77""";Dec 18, 1987
UFC 248: Adesanya vs. Romero;Giga Chikadze;"5' 10""";145 lbs.;"74""";Jul 24, 1989;Jamall Emmers;"6' 0""";145 lbs.;"74""";Aug 25, 1988
UFC 248: Adesanya vs. Romero;Batgerel Danaa;"5' 6""";135 lbs.;"68""";Dec 19, 1979;Guido Cannetti;"5' 7""";135 lbs.;"70""";Jul 04, 1989
UFC Fight Night: Smith vs. Teixeira;Glover Teixeira;"6' 4""";205 lbs.;"76""";Jul 26, 1988;Anthony Smith;"6' 2""";205 lbs.;"76""";Oct 28, 1979
UFC Fight Night: Smith vs. Teixeira;Ben Rothwell;"6' 3""";205 lbs.;"80""";Apr 08, 1983;Ovince Saint Preux;"6' 4""";265 lbs.;"78""";Oct 17, 1981
UFC Fight Night: Smith vs. Teixeira;Drew Dober;"5' 9""";155 lbs.;"72""";Oct 01, 1992;Alexander Hernandez;"5' 8""";155 lbs.;"70""";Oct 19, 1988
UFC Fight Night: Smith vs. Teixeira;Ricky Simon;"5' 4""";135 lbs.;"63""";Aug 04, 1993;Ray Borg;"5' 6""";135 lbs.;"69""";Aug 31, 1992
UFC Fight Night: Smith vs. Teixeira;Andrei Arlovski;"6' 2""";240 lbs.;"78""";Aug 17, 1985;Philipe Lins;"6' 3""";240 lbs.;"77""";Feb 04, 1979
UFC Fight Night: Smith vs. Teixeira;Thiago Moises;"5' 10""";155 lbs.;"73""";Jun 04, 1986;Michael Johnson;"5' 9""";155 lbs.;"70""";Mar 23, 1995
UFC Fight Night: Smith vs. Teixeira;Sijara Eubanks;"5' 7""";135 lbs.;"67""";Apr 30, 1988;Sarah Moras;"5' 4""";125 lbs.;"67""";Apr 27, 1985
UFC Fight Night: Smith vs. Teixeira;Omar Morales;"5' 8""";145 lbs.;"71""";Jun 15, 1988;Gabriel Benitez;"5' 11""";145 lbs.;"73""";Oct 17, 1985
UFC Fight Night: Smith vs. Teixeira;Brian Kelleher;"5' 8""";145 lbs.;"69""";Mar 02, 1992;Hunter Azure;"5' 6""";145 lbs.;"66""";Aug 19, 1986
