event;winner;height;weight;reach;bday;loser;l_height;l_weight;l_reach;l_bday
UFC Fight Night: Thompson vs. Neal;Michel Pereira;"6' 0""";170 lbs.;"77""";Mar 30, 1994;Khaos Williams;"6' 1""";170 lbs.;"73""";Oct 06, 1993
UFC Fight Night: Thompson vs. Neal;Rob Font;"5' 6""";135 lbs.;"67""";Apr 26, 1988;Marlon Moraes;"5' 8""";135 lbs.;"71""";Jun 25, 1987
UFC Fight Night: Thompson vs. Neal;Marcin Tybura;"6' 5""";265 lbs.;"80""";Jul 28, 1988;Greg Hardy;"6' 3""";249 lbs.;"78""";Nov 09, 1985
UFC Fight Night: Thompson vs. Neal;Anthony Pettis;"5' 11""";170 lbs.;"72""";Aug 16, 1990;Alex Morono;"5' 10""";155 lbs.;"72""";Jan 27, 1987
UFC Fight Night: Thompson vs. Neal;Pannie Kianzad;"5' 4""";125 lbs.;"67""";Apr 27, 1985;Sijara Eubanks;"5' 7""";135 lbs.;"66""";Dec 08, 1991
UFC Fight Night: Thompson vs. Neal;Deron Winn;"6' 3""";185 lbs.;"73""";Jul 01, 1989;Antonio Arroyo;"5' 6""";185 lbs.;"70""";Jun 13, 1989
UFC Fight Night: Thompson vs. Neal;Taila Santos;"5' 5""";125 lbs.;"63""";May 17, 1995;Gillian Robertson;"5' 6""";125 lbs.;"68""";Jun 22, 1993
UFC Fight Night: Thompson vs. Neal;Tafon Nchukwi;"6' 2""";185 lbs.;"80""";Aug 29, 1988;Jamie Pickett;"6' 0""";205 lbs.;"77""";Oct 14, 1994
UFC Fight Night: Thompson vs. Neal;Jimmy Flick;"5' 7""";125 lbs.;"67""";Mar 29, 1991;Cody Durden;"5' 7""";125 lbs.;"68""";Sep 07, 1990
UFC Fight Night: Thompson vs. Neal;Christos Giagos;"5' 10""";170 lbs.;"75""";Apr 26, 1993;Carlton Minus;"5' 10""";155 lbs.;"71""";Jan 23, 1990
UFC Fight Night: Felder vs. Dos Anjos;Rafael Dos Anjos;"5' 11""";155 lbs.;"70""";Apr 25, 1984;Paul Felder;"5' 8""";155 lbs.;"70""";Oct 26, 1984
UFC Fight Night: Felder vs. Dos Anjos;Khaos Williams;"5' 10""";185 lbs.;"73""";Aug 11, 1985;Abdul Razak Alhassan;"6' 0""";170 lbs.;"77""";Mar 30, 1994
UFC Fight Night: Felder vs. Dos Anjos;Ashley Yoder;"5' 7""";125 lbs.;"68""";Apr 13, 1992;Miranda Granger;"5' 7""";115 lbs.;"69""";Oct 20, 1987
UFC Fight Night: Felder vs. Dos Anjos;Sean Strickland;"6' 2""";185 lbs.;"75""";Dec 28, 1995;Brendan Allen;"6' 1""";185 lbs.;"76""";Feb 27, 1991
UFC Fight Night: Felder vs. Dos Anjos;Cory McKenna;"5' 2""";115 lbs.;"63""";Aug 14, 1999;Kay Hansen;"5' 3""";115 lbs.;"58""";Jul 11, 1999
UFC Fight Night: Felder vs. Dos Anjos;Kanako Murata;"5' 4""";115 lbs.;"63""";Aug 10, 1985;Randa Markos;"5' 1""";115 lbs.;"62""";Aug 10, 1993
UFC Fight Night: Felder vs. Dos Anjos;Tony Gravely;"5' 7""";135 lbs.;"72""";Sep 30, 1991;Geraldo de Freitas;"5' 5""";135 lbs.;"69""";Sep 28, 1991
UFC Fight Night: Felder vs. Dos Anjos;Alex Morono;"6' 2""";170 lbs.;"78""";Sep 10, 1995;Rhys McKee;"5' 11""";170 lbs.;"72""";Aug 16, 1990
UFC Fight Night: Felder vs. Dos Anjos;Don'Tale Mayes;"5' 10""";250 lbs.;"72""";Mar 04, 1986;Roque Martinez;"6' 6""";260 lbs.;"81""";Jan 16, 1992
UFC Fight Night: Santos vs. Teixeira;Glover Teixeira;"6' 2""";205 lbs.;"76""";Jan 07, 1984;Thiago Santos;"6' 2""";205 lbs.;"76""";Oct 28, 1979
UFC Fight Night: Santos vs. Teixeira;Andrei Arlovski;"6' 2""";255 lbs.;"75""";Aug 02, 1991;Tanner Boser;"6' 3""";240 lbs.;"77""";Feb 04, 1979
UFC 255: Figueiredo vs. Perez;Deiveson Figueiredo;"5' 6""";125 lbs.;"65""";Mar 21, 1992;Alex Perez;"5' 5""";125 lbs.;"68""";Dec 18, 1987
UFC 255: Figueiredo vs. Perez;Valentina Shevchenko;"5' 4""";125 lbs.;"64""";Oct 06, 1988;Jennifer Maia;"5' 5""";125 lbs.;"66""";Mar 07, 1988
UFC Fight Night: Santos vs. Teixeira;Raoni Barcelos;"5' 5""";135 lbs.;"69""";Feb 15, 1992;Khalid Taha;"5' 7""";135 lbs.;"67""";May 01, 1987
UFC Fight Night: Santos vs. Teixeira;Giga Chikadze;"5' 6""";135 lbs.;"70""";Sep 11, 1992;Jamey Simmons;"6' 0""";145 lbs.;"74""";Aug 25, 1988
UFC Fight Night: Santos vs. Teixeira;Yan Xiaonan;"5' 4""";115 lbs.;"63""";Dec 07, 1988;Claudia Gadelha;"5' 5""";115 lbs.;"63""";Jun 16, 1989
UFC Fight Night: Santos vs. Teixeira;Trevin Giles;"6' 3""";185 lbs.;"79""";May 05, 1991;Bevon Lewis;"6' 0""";185 lbs.;"74""";Aug 06, 1992
UFC Fight Night: Santos vs. Teixeira;Alexandr Romanov;"6' 1""";253 lbs.;"75""";Jun 25, 1985;Marcos Rogerio de Lima;"6' 2""";262 lbs.;"75""";Dec 11, 1990
UFC Fight Night: Santos vs. Teixeira;Darren Elkins;"5' 9""";145 lbs.;"70""";May 28, 1989;Eduardo Garagorri;"5' 10""";145 lbs.;"71""";May 16, 1984
UFC Fight Night: Santos vs. Teixeira;Max Griffin;"5' 10""";170 lbs.;"72""";Nov 17, 1992;Ramiz Brahimaj;"5' 11""";170 lbs.;"76""";Nov 29, 1985
UFC 255: Figueiredo vs. Perez;Tim Means;"5' 10""";170 lbs.;"71""";Sep 15, 1991;Mike Perry;"6' 2""";170 lbs.;"75""";Feb 20, 1984
UFC 255: Figueiredo vs. Perez;Katlyn Chookagian;"5' 4""";125 lbs.;"64""";Jul 13, 1987;Cynthia Calvillo;"5' 9""";125 lbs.;"68""";Dec 28, 1988
UFC Fight Night: Santos vs. Teixeira;Gustavo Lopez;"5' 8""";135 lbs.;"69""";May 16, 1986;Anthony Birchak;"5' 5""";135 lbs.;"67""";Jun 27, 1989
UFC 255: Figueiredo vs. Perez;Paul Craig;"6' 1""";205 lbs.;"76""";Nov 25, 1981;Mauricio Rua;"6' 3""";205 lbs.;"76""";Nov 27, 1987
UFC 255: Figueiredo vs. Perez;Brandon Moreno;"5' 9""";125 lbs.;"68""";Aug 16, 1992;Brandon Royval;"5' 7""";125 lbs.;"70""";Dec 07, 1993
UFC 255: Figueiredo vs. Perez;Joaquin Buckley;"6' 2""";185 lbs.;"77""";Oct 07, 1991;Jordan Wright;"5' 10""";185 lbs.;"76""";Apr 27, 1994
UFC 255: Figueiredo vs. Perez;Antonina Shevchenko;"5' 6""";125 lbs.;"67""";Jan 26, 1994;Ariane Lipski;"5' 8""";125 lbs.;"67""";Nov 20, 1984
UFC Fight Night: Holloway vs. Kattar;Max Holloway;"5' 11""";145 lbs.;"72""";Mar 26, 1988;Calvin Kattar;"5' 11""";145 lbs.;"69""";Dec 04, 1991
UFC Fight Night: Holloway vs. Kattar;Carlos Condit;"6' 0""";170 lbs.;"75""";Jan 10, 1981;Matt Brown;"6' 2""";170 lbs.;"75""";Apr 26, 1984
UFC Fight Night: Holloway vs. Kattar;Li Jingliang;"6' 0""";170 lbs.;"73""";Sep 26, 1986;Santiago Ponzinibbio;"6' 0""";170 lbs.;"71""";Mar 20, 1988
UFC Fight Night: Holloway vs. Kattar;Alessio Di Chirico;"5' 10""";185 lbs.;"76""";Apr 27, 1994;Joaquin Buckley;"6' 0""";185 lbs.;"74""";Dec 12, 1989
UFC Fight Night: Holloway vs. Kattar;Punahele Soriano;"6' 1""";185 lbs.;"74""";May 19, 1994;Dusko Todorovic;"5' 11""";185 lbs.;"72""";Nov 22, 1992
UFC 255: Figueiredo vs. Perez;Nicolas Dalby;"6' 1""";170 lbs.;"74""";Dec 31, 1986;Daniel Rodriguez;"5' 11""";170 lbs.;"74""";Nov 16, 1984
UFC 255: Figueiredo vs. Perez;Alan Jouban;"6' 0""";170 lbs.;"77""";Dec 05, 1993;Jared Gooden;"6' 0""";170 lbs.;"73""";Nov 25, 1981
UFC 255: Figueiredo vs. Perez;Kyle Daukaus;"6' 0""";185 lbs.;"75""";Nov 15, 1991;Dustin Stoltzfus;"6' 3""";185 lbs.;"76""";Feb 27, 1993
UFC 255: Figueiredo vs. Perez;Sasha Palatnikov;"5' 9""";170 lbs.;"71""";Aug 27, 1995;Louis Cosce;"6' 1""";170 lbs.;"72""";Mar 15, 1989
UFC Fight Night: Holloway vs. Kattar;Joselyne Edwards;"5' 8""";135 lbs.;"66""";Apr 18, 1996;Wu Yanan;"5' 8""";135 lbs.;"70""";Sep 29, 1995
UFC Fight Night: Holloway vs. Kattar;Carlos Felipe;"6' 0""";264 lbs.;"74""";Dec 13, 1993;Justin Tafa;"6' 0""";245 lbs.;"75""";Jan 12, 1995
UFC Fight Night: Holloway vs. Kattar;Ramazan Emeev;"6' 0""";170 lbs.;"75""";Aug 01, 1990;David Zawada;"5' 10""";170 lbs.;"76""";May 23, 1987
UFC Fight Night: Holloway vs. Kattar;Vanessa Melo;"5' 7""";135 lbs.;"67""";Apr 30, 1988;Sarah Moras;"5' 5""";135 lbs.;"65""";Mar 27, 1988
UFC Fight Night: Holloway vs. Kattar;Austin Lingo;"5' 9""";145 lbs.;"72""";Jun 28, 1995;Jacob Kilburn;"5' 10""";145 lbs.;"70""";Jul 10, 1994
UFC Fight Night: Chiesa vs. Magny;Michael Chiesa;"6' 3""";170 lbs.;"80""";Aug 03, 1987;Neil Magny;"6' 1""";170 lbs.;"75""";Dec 07, 1987
UFC Fight Night: Chiesa vs. Magny;Warlley Alves;"6' 1""";170 lbs.;"76""";Nov 16, 1987;Mounir Lazzez;"5' 11""";170 lbs.;"72""";Jan 04, 1991
UFC Fight Night: Chiesa vs. Magny;Ike Villanueva;"6' 4""";205 lbs.;"76""";Feb 28, 1989;Vinicius Moreira;"6' 1""";205 lbs.;"73""";Apr 04, 1984
UFC Fight Night: Chiesa vs. Magny;Viviane Araujo;"5' 7""";125 lbs.;"69""";Sep 24, 1982;Roxanne Modafferi;"5' 4""";125 lbs.;"68""";Nov 21, 1986
UFC Fight Night: Chiesa vs. Magny;Matt Schnell;"5' 7""";125 lbs.;"68""";Oct 06, 1983;Tyson Nam;"5' 8""";125 lbs.;"70""";Jan 15, 1990
UFC Fight Night: Chiesa vs. Magny;Lerone Murphy;"5' 7""";135 lbs.;"68""";Jun 22, 1985;Douglas Silva de Andrade;"5' 9""";145 lbs.;"73""";Jul 22, 1991
UFC Fight Night: Chiesa vs. Magny;Omari Akhmedov;"6' 3""";185 lbs.;"73""";Sep 26, 1991;Tom Breese;"6' 0""";185 lbs.;"73""";Oct 12, 1987
UFC Fight Night: Chiesa vs. Magny;Ricky Simon;"5' 7""";135 lbs.;"65""";Apr 29, 1992;Gaetano Pirrello;"5' 6""";135 lbs.;"69""";Aug 31, 1992
UFC Fight Night: Chiesa vs. Magny;Sumudaerji;"5' 5""";125 lbs.;"65""";Jul 29, 1992;Zarrukh Adashev;"5' 8""";125 lbs.;"72""";Jan 20, 1996
UFC Fight Night: Chiesa vs. Magny;Dalcha Lungiambula;"6' 1""";185 lbs.;"73""";Jun 22, 1988;Markus Perez;"5' 8""";185 lbs.;"76""";Jul 31, 1987
UFC Fight Night: Chiesa vs. Magny;Francisco Figueiredo;"5' 10""";125 lbs.;"72""";Apr 22, 1995;Jerome Rivera;"5' 6""";125 lbs.;"68""";Oct 23, 1989
UFC Fight Night: Chiesa vs. Magny;Mike Davis;"5' 10""";155 lbs.;"74""";Apr 26, 1995;Mason Jones;"6' 0""";155 lbs.;"72""";Oct 07, 1992
UFC Fight Night: Chiesa vs. Magny;Umar Nurmagomedov;"5' 6""";135 lbs.;"67""";Jun 14, 1989;Sergey Morozov;"5' 8""";145 lbs.;"69""";Mar 01, 1996
UFC Fight Night: Chiesa vs. Magny;Manon Fiorot;"5' 5""";125 lbs.;"64""";Feb 16, 1990;Victoria Leonardo;"5' 7""";125 lbs.;"65""";Feb 17, 1990
UFC Fight Night: Hermansson vs. Vettori;Marvin Vettori;"6' 1""";185 lbs.;"77""";Jun 10, 1988;Jack Hermansson;"6' 0""";205 lbs.;"74""";Sep 20, 1993
UFC Fight Night: Hermansson vs. Vettori;Jamahal Hill;"6' 3""";205 lbs.;"80""";Apr 08, 1983;Ovince Saint Preux;"6' 4""";205 lbs.;"79""";May 19, 1991
UFC Fight Night: Hermansson vs. Vettori;Gabriel Benitez;"5' 7""";145 lbs.;"68""";Aug 10, 1989;Justin Jaynes;"5' 8""";145 lbs.;"71""";Jun 15, 1988
UFC Fight Night: Hermansson vs. Vettori;Roman Dolidze;"6' 1""";205 lbs.;"75""";Feb 22, 1993;John Allan;"6' 2""";185 lbs.;"76""";Jul 15, 1988
UFC Fight Night: Hermansson vs. Vettori;Jordan Leavitt;"5' 10""";155 lbs.;"68""";Sep 19, 1983;Matt Wiman;"5' 9""";155 lbs.;"71""";Jun 02, 1995
UFC Fight Night: Hermansson vs. Vettori;Louis Smolka;"5' 8""";135 lbs.;"69""";Jul 28, 1990;Jose Quinonez;"5' 9""";135 lbs.;"68""";Jul 16, 1991
